XL2 Broadband Logging:		$FILENAME                                                     
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Type:       	NTi Audio M4260, S/N: 3530, Factory adjusted 
	Mic Sensitivity:	28.8 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-25, 09:12:14
	End:            	--------------------

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-25  	09:14:41  	00:02:27  	48.4    	62.0    
	2017-06-25  	09:14:42  	00:02:28  	47.8    	62.0    
	2017-06-25  	09:14:43  	00:02:29  	48.1    	61.9    
	2017-06-25  	09:14:44  	00:02:30  	48.5    	61.9    
	2017-06-25  	09:14:45  	00:02:31  	48.3    	61.9    
	2017-06-25  	09:14:46  	00:02:32  	49.2    	61.8    
	2017-06-25  	09:14:47  	00:02:33  	48.3    	61.8    
	2017-06-25  	09:14:48  	00:02:34  	47.6    	61.8    
	2017-06-25  	09:14:49  	00:02:35  	48.9    	61.8    
	2017-06-25  	09:14:50  	00:02:36  	49.6    	61.7    
	2017-06-25  	09:14:51  	00:02:37  	49.0    	61.7    
	2017-06-25  	09:14:52  	00:02:38  	48.6    	61.7    
	2017-06-25  	09:14:53  	00:02:39  	49.7    	61.7    
	2017-06-25  	09:14:54  	00:02:40  	49.5    	61.6    
	2017-06-25  	09:14:55  	00:02:41  	49.8    	61.6    
	2017-06-25  	09:14:56  	00:02:42  	48.7    	61.6    
	2017-06-25  	09:14:57  	00:02:43  	48.7    	61.6    
	2017-06-25  	09:14:58  	00:02:44  	49.4    	61.5    
	2017-06-25  	09:14:59  	00:02:45  	48.2    	61.5    
	2017-06-25  	09:15:00  	00:02:46  	50.3    	61.5    
	2017-06-25  	09:15:01  	00:02:47  	51.7    	61.5    
	2017-06-25  	09:15:02  	00:02:48  	50.3    	61.4    
	2017-06-25  	09:15:03  	00:02:49  	48.1    	61.4    
	2017-06-25  	09:15:04  	00:02:50  	47.9    	61.4    
	2017-06-25  	09:15:05  	00:02:51  	47.7    	61.4    
	2017-06-25  	09:15:06  	00:02:52  	48.9    	61.3    
	2017-06-25  	09:15:07  	00:02:53  	48.2    	61.3    
	2017-06-25  	09:15:08  	00:02:54  	48.5    	61.3    
	2017-06-25  	09:15:09  	00:02:55  	50.0    	61.3    
	2017-06-25  	09:15:10  	00:02:56  	47.6    	61.2    
	2017-06-25  	09:15:11  	00:02:57  	47.5    	61.2    
	2017-06-25  	09:15:12  	00:02:58  	49.9    	61.2    
	2017-06-25  	09:15:13  	00:02:59  	48.0    	61.2    
	2017-06-25  	09:15:14  	00:03:00  	49.0    	61.1    
